iter	Logloss
185	0.2843041459
186	0.2840557788
187	0.2838485842
188	0.2836441258
189	0.2833225339
190	0.2830737597
191	0.2828511039
192	0.282216964
193	0.282026552
194	0.2819141505
195	0.2816590881
196	0.2813710669
197	0.2812431323
198	0.2809355983
199	0.280483159
200	0.2800764715
201	0.2795004686
202	0.2793375922
203	0.2791494804
204	0.2789659035
205	0.2787614516
206	0.2785753655
207	0.2780429035
208	0.2779012787
209	0.2777145571
210	0.2774948074
211	0.2772872528
212	0.2771466359
213	0.2766681621
214	0.2761961725
215	0.2760311866
216	0.2758220545
217	0.2755250014
218	0.2751994778
219	0.2750228475
220	0.2748302239
221	0.2745821368
222	0.2744124696
223	0.2742516821
224	0.2740665083
225	0.273857658
226	0.2733554359
227	0.2731255123
228	0.2728966289
229	0.2721453596
230	0.2719405077
231	0.2717221749
232	0.2711861589
233	0.2707525326
234	0.2706596412
235	0.2705653435
236	0.2701500509
237	0.2699865941
238	0.2698418817
239	0.2697025856
240	0.2693528081
241	0.2691453749
242	0.2689250633
243	0.2687601354
244	0.2686132095
245	0.2683264797
246	0.2680731867
247	0.2677229314
248	0.2674754466
249	0.2673721122
250	0.2670277331
251	0.2667689697
252	0.2662679169
253	0.2660590777
254	0.2659764131
255	0.2656674036
256	0.264846186
257	0.2646582531
258	0.2645243012
259	0.2644442728
260	0.2639959916
261	0.2638080674
262	0.2633702736
263	0.2632245991
264	0.2630600984
265	0.2629385481
266	0.2627867847
267	0.2626229085
268	0.2624297052
269	0.2616548321
270	0.2609260556
271	0.2607345996
272	0.260373929
273	0.2601943303
274	0.2600608649
275	0.2599219823
276	0.2593918507
277	0.2592148035
278	0.2590410632
279	0.2582691884
280	0.2580763757
281	0.2571417222
282	0.2564512981
283	0.256347468
284	0.2562457335
285	0.2560302299
286	0.2558617867
287	0.2554430109
288	0.2552736913
289	0.2550369122
290	0.2546590217
291	0.254425652
292	0.2540255635
293	0.2538033352
294	0.2535594067
295	0.2533153655
296	0.2530405721
297	0.252585146
298	0.2524007978
299	0.2522475199
300	0.2515801566
301	0.2513978968
302	0.2511755236
303	0.2509869383
304	0.2508653207
305	0.2505528434
306	0.2504306163
307	0.2503300122
308	0.2502030864
309	0.2498613904
310	0.2497468372
311	0.249540709
312	0.2494384293
313	0.2492648631
314	0.2491318014
315	0.2489881197
316	0.2483513469
317	0.2482238892
318	0.2480284268
319	0.2478634574
320	0.2477388597
321	0.2475454707
322	0.2473614434
323	0.2466494065
324	0.2465614548
325	0.246417873
326	0.2462476908
327	0.2461262004
328	0.2459103562
329	0.2455883154
330	0.2454169886
331	0.2453126974
332	0.2451851081
333	0.2450319943
334	0.2448350077
335	0.2447131755
336	0.2442760837
337	0.2441141319
338	0.2439977973
339	0.2437559414
340	0.2436640234
341	0.2435226175
342	0.2433301879
343	0.243197603
344	0.2428892405
345	0.2427902495
346	0.242674008
347	0.2425524385
348	0.2418371429
349	0.2416633934
350	0.2415498874
351	0.2413838196
352	0.2409728646
353	0.240754642
354	0.2406119537
355	0.2403920075
356	0.2402932718
357	0.2401523851
358	0.2400372548
359	0.2398529223
360	0.2396188
361	0.2393586445
362	0.2391576792
363	0.2384129209
364	0.2380451464
365	0.2378746575
366	0.2374099082
367	0.237224547
368	0.2371333211
369	0.2370285648
370	0.236899943
371	0.2367508963
372	0.2361698473
373	0.2358545753
374	0.2356159486
375	0.2354137465
376	0.234859907
377	0.2347393314
378	0.2346066584
379	0.2338052255
380	0.2336226953
381	0.2335130004
382	0.2330289341
383	0.232855599
384	0.2326457896
385	0.2323771637
386	0.2322376344
387	0.2320278057
388	0.231385331
389	0.2310567413
390	0.2307043756
391	0.2303553421
392	0.2301892488
393	0.2300078757
394	0.2299049936
395	0.2297079463
396	0.2289930866
397	0.2288687516
398	0.2287505069
399	0.2286133887
400	0.2285251341
401	0.2283711487
402	0.2282103443
403	0.227809878
404	0.2276383869
405	0.2274869755
406	0.2274083083
407	0.2272521616
408	0.2268055156
409	0.2266634652
410	0.2265269999
411	0.226319599
412	0.2258532178
413	0.2256671122
414	0.2255474032
415	0.2254072935
416	0.2251528209
417	0.2250253641
418	0.2248661017
419	0.224757554
420	0.2246076176
421	0.2244439871
422	0.2243049975
423	0.2241031513
424	0.2234863217
425	0.2233424779
426	0.223212766
427	0.2230837564
428	0.2229690382
429	0.222767118
430	0.2225609534
431	0.2223974752
432	0.2222644501
433	0.2218689097
434	0.2217784093
435	0.2216772637
436	0.221514436
437	0.2213833139
438	0.2211943497
439	0.2207342442
440	0.2203667846
441	0.220296295
442	0.2201873069
443	0.2197616993
444	0.2196056816
445	0.2194794944
446	0.2192871263
447	0.2188986596
448	0.2187578961
449	0.2186351164
450	0.2185140382
451	0.2182938928
452	0.2180908259
453	0.2179833331
454	0.2178555196
455	0.2176103378
456	0.2174379506
457	0.2171102256
458	0.2166045419
459	0.2164367355
460	0.2162805277
461	0.2162127615
462	0.2160771088
463	0.2159388498
464	0.215782451
465	0.2154946938
466	0.2151785071
467	0.2150696962
468	0.2149635397
469	0.2146377593
470	0.2145158461
471	0.2142052533
472	0.2139298354
473	0.2137593258
474	0.2136783342
475	0.2134816395
476	0.213361148
477	0.2132439135
478	0.2129630096
479	0.2128132392
480	0.2127255109
481	0.2125293813
482	0.2122956739
483	0.2121364526
484	0.2119697839
485	0.2118602129
486	0.2117303016
487	0.2116138974
488	0.2114864049
489	0.2113954148
490	0.2112966729
491	0.2112058264
492	0.2110966465
493	0.211002014
494	0.2107609553
495	0.2106647566
496	0.2104894359
497	0.2103988829
498	0.2102828592
499	0.210160486
500	0.2098849029
501	0.2098016537
502	0.2095697988
503	0.209476904
504	0.2093068808
505	0.2091815978
506	0.2088411833
507	0.2087370842
508	0.2086261564
509	0.2085354112
510	0.2082653364
511	0.2081214631
512	0.2080263283
513	0.2078955534
514	0.2078270885
515	0.2075905086
516	0.2074374931
517	0.2073367902
518	0.2072571897
519	0.2070982237
520	0.207003697
521	0.2069400857
522	0.2067059431
523	0.2064350577
524	0.2062695706
525	0.2060957258
526	0.2059934326
527	0.205904426
528	0.2058184663
529	0.2056946465
530	0.2055335484
531	0.205456544
532	0.2053585583
533	0.2049311797
534	0.2048340316
535	0.2047287764
536	0.204603538
537	0.2044913973
538	0.2043861738
539	0.2043055689
540	0.2042158883
541	0.2039918474
542	0.2038506669
543	0.2037507202
544	0.2036528556
545	0.2035849229
546	0.2035045404
547	0.2034201715
548	0.203304643
549	0.203157074
550	0.203103461
551	0.2030178151
552	0.202925356
553	0.2027595272
554	0.2025649631
555	0.2025046158
556	0.2024329603
557	0.2023241703
558	0.2022301701
559	0.2019886111
560	0.201880212
561	0.2017905306
562	0.201653304
563	0.2014075232
564	0.2012498235
565	0.2011442273
566	0.2010345118
567	0.2009223298
568	0.2008405851
569	0.2007388634
570	0.2006721867
571	0.200596463
572	0.2005366604
573	0.2004366314
574	0.2003424178
575	0.2002361867
576	0.2001674693
577	0.1999927375
578	0.1999270796
579	0.1998527208
580	0.1997981884
581	0.1996406881
582	0.1995585896
583	0.1994606698
584	0.1994028226
585	0.1993127523
586	0.1992217403
587	0.199136337
588	0.1990342034
589	0.1989787302
590	0.1988989029
591	0.1987832333
592	0.1986754128
593	0.1985985561
594	0.1982917565
595	0.198214554
596	0.1981569896
597	0.1980839066
598	0.19795572
599	0.1978874319
600	0.1977932191
601	0.1976917951
602	0.1975985164
603	0.1974884134
604	0.1973126793
605	0.1972309173
606	0.1971324261
607	0.1970753887
608	0.1970143821
609	0.1968820642
610	0.1967455224
611	0.1966451301
612	0.1965823063
613	0.1964552318
614	0.1963000845
615	0.1962176834
616	0.1961327424
617	0.1960554755
618	0.1959693344
619	0.1959005269
620	0.1957899399
621	0.1957180291
622	0.195665542
623	0.1955299223
624	0.1953809396
625	0.1953304008
626	0.1951707617
627	0.1951181861
628	0.194962296
629	0.194896715
630	0.1948300834
631	0.1947555894
632	0.1946983463
633	0.1946036677
634	0.1944866895
635	0.1943870751
636	0.1941419926
637	0.1939530104
638	0.193883852
639	0.1937870437
640	0.1937028079
641	0.1936205448
642	0.1935589256
643	0.1934492377
644	0.1933638081
645	0.1932767918
646	0.193139247
647	0.1930823413
648	0.1929677534
649	0.1928630647
650	0.1927863834
651	0.1925919138
652	0.1925460247
653	0.1924437471
654	0.1923264549
655	0.1922069774
656	0.1920979266
657	0.1920069247
658	0.1919096031
659	0.1917766848
660	0.1916047945
661	0.1915231363
662	0.1914014303
663	0.1912120345
664	0.1911431638
665	0.1910816809
666	0.1910105005
667	0.1909327564
668	0.1908013723
669	0.190723814
670	0.1906564109
671	0.1905590618
672	0.1904628293
673	0.1903835929
674	0.1903210119
675	0.1902300211
676	0.1901453258
677	0.1901016606
678	0.1899435446
679	0.1898633243
680	0.1897549902
681	0.1896771334
682	0.1896090301
683	0.1895280233
684	0.1894618918
685	0.1893766589
686	0.1893006174
687	0.189227089
688	0.1891634755
689	0.189026106
690	0.1889758306
691	0.1888815004
692	0.1887989737
693	0.1886838011
694	0.1886153072
695	0.1885305856
696	0.1884001335
697	0.1883244505
698	0.1881635028
699	0.1880927699
700	0.1880025131
701	0.1878523543
702	0.1877622633
703	0.1876909318
704	0.1876514612
705	0.1875052453
706	0.1874234878
707	0.1873254176
708	0.1872195791
709	0.1871574428
710	0.1871066507
711	0.1870492838
712	0.1869522875
713	0.1868273366
714	0.1867072848
715	0.1864902351
716	0.1864286545
717	0.1863237038
718	0.1862058503
719	0.1861333131
720	0.1860861057
721	0.1860160221
722	0.1859130609
723	0.1858532364
724	0.1857470165
725	0.1856839328
726	0.1855460079
727	0.1854756237
728	0.1853788388
729	0.1852867957
730	0.1852313509
731	0.1851995294
732	0.1851170281
733	0.1850264853
734	0.1849689229
735	0.1848552929
736	0.1845939082
737	0.1844648295
738	0.1842904429
739	0.1842261205
740	0.1841236214
741	0.1840054637
742	0.1839243121
743	0.1838202658
744	0.1837321387
745	0.1836746299
746	0.1836107701
747	0.1835475452
748	0.1834891308
749	0.1833712741
750	0.1832921238
751	0.1832250742
752	0.1831464954
753	0.1830386449
754	0.1829480212
755	0.1828631851
756	0.1827947533
757	0.1827015415
758	0.1825879462
759	0.1825139092
760	0.1823954023
761	0.1823352632
762	0.1822132945
763	0.1821444067
764	0.1820245776
765	0.181952855
766	0.1819177731
767	0.1818498197
768	0.1817392192
769	0.1816429779
770	0.181548069
771	0.1815038023
772	0.1814448878
773	0.181356312
774	0.1812495115
775	0.1811869335
776	0.1810506591
777	0.1809926519
778	0.1809010118
779	0.1807516716
780	0.180673763
781	0.1805977785
782	0.1805363912
783	0.1804702272
784	0.1803860484
785	0.1803045839
786	0.1802360663
787	0.1801791061
788	0.1801148448
789	0.180070692
790	0.1799907861
791	0.1799228873
792	0.1798504801
793	0.1797748364
794	0.1796431875
795	0.1795722025
796	0.1794691289
797	0.1793756443
798	0.1793193681
799	0.1792093771
800	0.1790568207
801	0.1790198289
802	0.1789411744
803	0.1788431761
804	0.1787615526
805	0.1786694451
806	0.1785968418
807	0.1784439562
808	0.1783519354
809	0.1782372177
810	0.1781448906
811	0.1780414102
812	0.1779497453
813	0.1778798159
814	0.177793962
815	0.1777430844
816	0.1776813251
817	0.1775879351
818	0.1775238931
819	0.1774754355
820	0.1774121075
821	0.1773110993
822	0.1772601104
823	0.1771991375
824	0.1771430776
825	0.1770810663
826	0.1770328569
827	0.1769759714
828	0.1769120556
829	0.1768489435
830	0.1767957807
831	0.1766989875
832	0.1765870419
833	0.1764824122
834	0.1763457468
835	0.1761955091
836	0.1761181093
837	0.176040989
838	0.1759761147
839	0.1758254421
840	0.1757288507
841	0.1756248015
842	0.1755686518
843	0.1754740904
844	0.1754056278
845	0.1753376236
846	0.1752218827
847	0.1750943596
848	0.1750047684
849	0.1749111322
850	0.1748581182
851	0.1747841789
852	0.1747356213
853	0.1746644058
854	0.1745703302
855	0.1745305831
856	0.1744583199
857	0.1743146343
858	0.1742325882
859	0.1741779653
860	0.1741168882
861	0.1740323981
862	0.1739241202
863	0.1738657092
864	0.1738135226
865	0.173758521
866	0.1737029527
867	0.1736456875
868	0.1735642519
869	0.1734947902
870	0.1734483418
871	0.1733887719
872	0.1733264523
873	0.1732773255
874	0.1732292585
875	0.1731870997
876	0.173096113
877	0.1730395342
878	0.1729314898
879	0.1728694428
880	0.1727950561
881	0.1727403366
882	0.172667743
883	0.1725880142
884	0.1725248322
885	0.1724496083
886	0.1723900317
887	0.172241454
888	0.1721100983
889	0.1720260264
890	0.1719177114
891	0.1718498214
892	0.1717943655
893	0.1717067474
894	0.1715943407
895	0.1715465719
896	0.1714934928
897	0.1713787271
898	0.1712819316
899	0.1712405489
900	0.1711594756
901	0.1710445284
902	0.1709596093
903	0.17087291
904	0.1707439022
905	0.1706915738
906	0.170602788
907	0.170534559
908	0.1704429344
909	0.1703994002
910	0.1703260758
911	0.1702443946
912	0.1701966582
913	0.1700965253
914	0.1700443383
915	0.1699869648
916	0.1698996506
917	0.1698523305
918	0.1698180045
919	0.1697452696
920	0.1696481712
921	0.1695705988
922	0.1694363912
923	0.1693240803
924	0.1692799561
925	0.1692142828
926	0.1691444814
927	0.1690687734
928	0.1689866035
929	0.16889496
930	0.1688310437
931	0.1687119077
932	0.1686740016
933	0.1686360281
934	0.1685970699
935	0.1685399653
936	0.1684671633
937	0.1683871651
938	0.1683337532
939	0.1682195907
940	0.1681608526
941	0.1680923838
942	0.1680271719
943	0.1679356213
944	0.1678484888
945	0.1677956697
946	0.1676952548
947	0.1676395753
948	0.1675504764
949	0.1674571221
950	0.1674000533
951	0.1673174655
952	0.1672783247
953	0.1671947143
954	0.167116666
955	0.1670221239
956	0.1669518833
957	0.1668999314
958	0.1668418618
959	0.166793789
960	0.1667220457
961	0.1666227547
962	0.166561124
963	0.1665091518
964	0.1663821078
965	0.1662899815
966	0.1662074487
967	0.166113468
968	0.1660526828
969	0.1659858599
970	0.1658725792
971	0.1657960558
972	0.1657594605
973	0.1656814676
974	0.1656254202
975	0.1655241058
976	0.1654079202
977	0.1653044932
978	0.1652623012
979	0.1652248758
980	0.1651300679
981	0.165066402
982	0.1650078653
983	0.1649290804
984	0.1647833379
985	0.1647135329
986	0.1645998332
987	0.1645553721
988	0.1644544799
989	0.1643973369
990	0.1643309501
991	0.1642717085
992	0.1641770985
993	0.1641174353
994	0.1640309624
995	0.163972782
996	0.1638880728
997	0.1637844243
998	0.1636821944
999	0.1636197346
